ticker,group
HSY,sp500_2021
HUM,sp500_2021
ICE,sp500_2021
IDXX,sp500_2021
IEX,sp500_2021
IFF,sp500_2021
ILMN,sp500_2021
INCY,sp500_2021
INFO,sp500_2021
IP,sp500_2021
IPG,sp500_2021
IPGP,sp500_2021
IQV,sp500_2021
IR,sp500_2021
IRM,sp500_2021
IT,sp500_2021
IVZ,sp500_2021
J,sp500_2021
JBHT,sp500_2021
JCI,sp500_2021
JKHY,sp500_2021
JNPR,sp500_2021
K,sp500_2021
KEY,sp500_2021
KEYS,sp500_2021
KHC,sp500_2021
KIM,sp500_2021
KMB,sp500_2021
KMI,sp500_2021
KR,sp500_2021
L,sp500_2021
LDOS,sp500_2021
LEN,sp500_2021
LH,sp500_2021
LIN,sp500_2021
LKQ,sp500_2021
LNC,sp500_2021
LNT,sp500_2021
LUMN,sp500_2021
LUV,sp500_2021
LVS,sp500_2021
LW,sp500_2021
LYB,sp500_2021
LYV,sp500_2021
MAA,sp500_2021
MAR,sp500_2021
MAS,sp500_2021
MCHP,sp500_2021
MCK,sp500_2021
MCO,sp500_2021
MDLZ,sp500_2021
MDT,sp500_2021
MET,sp500_2021
MGM,sp500_2021
MHK,sp500_2021
MKC,sp500_2021
MKTX,sp500_2021
MLM,sp500_2021
MNST,sp500_2021
MO,sp500_2021
MOS,sp500_2021
MPWR,sp500_post2021_addition
MRO,sp500_2021
MRSH,sp500_2021
MSI,sp500_2021
MTB,sp500_2021
MTCH,sp500_post2021_addition
MTD,sp500_2021
NCLH,sp500_2021
NDAQ,sp500_2021
NEM,sp500_2021
NI,sp500_2021
NLSN,sp500_2021
NRG,sp500_2021
NSC,sp500_2021
NTAP,sp500_2021
NTRS,sp500_2021
NUE,sp500_2021
NVR,sp500_2021
NWL,sp500_2021
NWS,sp500_2021
NXPI,sp500_post2021_addition
O,sp500_2021
ODFL,sp500_2021
OGN,sp500_post2021_addition
OKE,sp500_2021
OMC,sp500_2021
ORLY,sp500_2021
OTIS,sp500_2021
OXY,sp500_2021
PAYC,sp500_2021
PAYX,sp500_2021
PBCT,sp500_2021
PCAR,sp500_2021
PEG,sp500_2021
PENN,sp500_post2021_addition
PFG,sp500_2021
PGR,sp500_2021
PH,sp500_2021
PHM,sp500_2021
PKG,sp500_2021
PLD,sp500_2021
PM,sp500_2021
PNC,sp500_2021
PNR,sp500_2021
PNW,sp500_2021
POOL,sp500_2021
PPG,sp500_2021
PPL,sp500_2021
PRU,sp500_2021
PSA,sp500_2021
PSKY,sp500_2021
PTC,sp500_post2021_addition
PVH,sp500_2021
PWR,sp500_2021
PXD,sp500_2021
Q,sp500_post2021_addition
QRVO,sp500_2021
RCL,sp500_2021
REG,sp500_2021
RF,sp500_2021
RHI,sp500_2021
RJF,sp500_2021
RL,sp500_2021
RMD,sp500_2021
ROK,sp500_2021
ROL,sp500_2021
ROP,sp500_2021
ROST,sp500_2021
RSG,sp500_2021
RVTY,sp500_2021
SBAC,sp500_2021
SBNY,sp500_post2021_addition
SCHW,sp500_2021
SEDG,sp500_post2021_addition
SEE,sp500_2021
SHW,sp500_2021
SIVB,sp500_2021
SJM,sp500_2021
SNA,sp500_2021
SNPS,sp500_2021
SOLS,sp500_post2021_addition
SOLV,sp500_post2021_addition
SPG,sp500_2021
SPGI,sp500_2021
STE,sp500_2021
STT,sp500_2021
STX,sp500_2021
STZ,sp500_2021
SW,sp500_2021
SWK,sp500_2021
SWKS,sp500_2021
SYF,sp500_2021
SYK,sp500_2021
SYY,sp500_2021
TAP,sp500_2021
TDY,sp500_2021
TECH,sp500_post2021_addition
TEL,sp500_2021
TER,sp500_2021
TFC,sp500_2021
TFX,sp500_2021
TJX,sp500_2021
TPR,sp500_2021
TRMB,sp500_post2021_addition
TROW,sp500_2021
TRV,sp500_2021
TSCO,sp500_2021
TSN,sp500_2021
TT,sp500_2021
TTWO,sp500_2021
TWTR,sp500_2021
TXT,sp500_2021
TYL,sp500_2021
UAA,sp500_2021
UAL,sp500_2021
UDR,sp500_2021
UHS,sp500_2021
