sic2,Sell,Operate,Build,Enable,Control,Serve
73,66.55235355937829,18.31959732286078,6.00143813264008,5.027932960893855,3.202610763869683,0.8960672603573206
38,62.918060200668904,25.125418060200673,3.38628762541806,3.6371237458193977,4.55685618729097,0.3762541806020067
28,37.35159817351598,39.54337899543379,9.771689497716896,4.931506849315069,6.1187214611872145,2.28310502283105
49,27.395209580838326,50.0,8.682634730538922,1.7964071856287425,10.928143712574851,1.1976047904191618
35,71.85733775092574,16.916780354706685,4.014811927499513,2.8844279867472227,3.800428766322354,0.5262132137984799
67,46.02272727272727,31.136363636363633,10.909090909090908,2.159090909090909,8.181818181818182,1.5909090909090908
63,28.177458033573146,44.90407673860911,8.393285371702639,4.616306954436451,11.390887290167866,2.5179856115107913
36,77.22277722277722,10.34965034965035,7.252747252747254,3.1568431568431565,1.8781218781218783,0.13986013986013987
60,24.545454545454547,49.586776859504134,6.115702479338843,5.041322314049586,12.8099173553719,1.9008264462809916
20,16.785714285714285,49.642857142857146,12.5,7.142857142857142,7.142857142857142,6.785714285714286
