sic2,n_firms,med_activities,mean_grounding
73,53,12.0,0.4101323232726397
38,37,4.0,0.3762261410290815
28,35,2.0,0.38891453376021856
49,32,1.0,0.3797812389362083
35,31,8.0,0.4287819549693361
67,28,2.0,0.3919978627889679
63,24,5.0,0.36564740540405244
36,21,7.0,0.42754886397406056
60,19,3.0,0.37368606843885593
20,19,1.0,0.3697343564668333
