sic2,Specific function,Deployed / scaled,Named product/process,Quantified outcome,Third-party attribution
73,87.77790067470413,73.86904103528371,62.91892489768831,13.94757217122,2.9200309700254397
38,83.4866220735786,71.19565217391305,58.73745819397993,8.695652173913043,2.6337792642140467
28,84.72727272727273,76.36363636363637,41.45454545454545,9.636363636363637,3.8181818181818183
49,90.70464767616193,68.81559220389805,44.97751124437781,11.84407796101949,4.7976011994003
35,86.37602179836512,74.44530945893344,65.25885558583107,13.915920591669911,1.5375632541845077
67,89.29384965831434,67.76765375854214,50.68337129840547,13.55353075170843,5.5808656036446465
63,89.14217156568687,73.00539892021595,40.191961607678465,10.317936412717456,2.519496100779844
36,88.58912869704237,73.04156674660271,74.08073541167066,18.82494004796163,1.3788968824940047
60,86.02329450915141,74.62562396006656,32.196339434276204,10.232945091514143,3.3277870216306153
20,91.07142857142857,59.285714285714285,28.92857142857143,6.785714285714286,5.0
