archetype,Vocal Substantives,Governance-Led Disclosers,Defensive Disclosers,No AI
Vocal Substantives,70.35040431266847,7.008086253369273,15.902964959568733,6.738544474393531
Governance-Led Disclosers,14.772727272727273,49.43181818181818,29.545454545454547,6.25
Defensive Disclosers,10.245901639344263,11.270491803278688,72.74590163934425,5.737704918032787
No AI,3.4558823529411766,7.13235294117647,18.38235294117647,71.02941176470588
