ticker,archetype,d,g,w,n_activities
MA,Vocal Substantives,0.9071672354948805,0.4613720245842202,-0.016595289079229136,38
TYL,Defensive Disclosers,0.8744027303754266,0.19740888467642692,0.4769807280513919,8
