sic2,label,n,mean_gap_pp,lo,hi
36,Electronic equipment,55,4.152639467564359,1.2886337895086837,7.016645145620036
35,Industrial/computer equip.,77,6.5690912260507535,3.465533109776545,9.672649342324963
63,Insurance carriers,44,7.059876526202209,3.020477885671803,11.099275166732614
73,Business services,187,8.528348569488008,6.798396778137599,10.258300360838417
60,Depository institutions,39,8.918540606982434,4.0139673486373955,13.823113865327473
38,Instruments,72,12.201280572157517,7.765766213245438,16.636794931069595
