year,fixed_cohort_grounding,new_filer_year_grounding
2021,0.42395976004788705,0.42395976004788705
2022,0.4363651569658136,0.4176563255655689
2023,0.42845289149238425,0.38918117137290575
2024,0.3952859729832742,0.3674116273850257
2025,0.3919518024443466,0.36165605019398417
2026,0.39364330445082724,0.3543733456216512
